cosl	fp	long double cosl (long double)
cpow	fp	complex double cpow (complex double, complex double)
cpowf	fp	complex float cpowf (complex float, complex float)
cpowl	fp	complex long double cpowl (complex long double, complex long double)
cproj	fp	complex double cproj (complex double)
cprojf	fp	complex float cprojf (complex float)
cprojl	fp	complex long double cprojl (complex long double)
creal	fp	double creal (complex double)
crealf	fp	float crealf (complex float)
creall	fp	long double creall (complex long double)
creat	int	int creat (const char *, mode_t)
csin	fp	complex double csin (complex double)
csinf	fp	complex float csinf (complex float)
csinh	fp	complex double csinh (complex double)
csinhf	fp	complex float csinhf (complex float)
csinhl	fp	complex long double csinhl (complex long double)
csinl	fp	complex long double csinl (complex long double)
csqrt	fp	complex double csqrt (complex double)
csqrtf	fp	complex float csqrtf (complex float)
csqrtl	fp	complex long double csqrtl (complex long double)
ctan	fp	complex double ctan (complex double)
ctanf	fp	complex float ctanf (complex float)
ctanh	fp	complex double ctanh (complex double)
ctanhf	fp	complex float ctanhf (complex float)
ctanhl	fp	complex long double ctanhl (complex long double)
ctanl	fp	complex long double ctanl (complex long double)
ctermid	int	char *ctermid (char *)
ctime	int	char *ctime (const time_t *)
ctime_r	int	char *ctime_r (const time_t *, char *)
cuserid	int	char *cuserid (char *)
cwait	unlisted	-
cygwin_attach_handle_to_fd	unlisted	-
cygwin_conv_path	int	ssize_t cygwin_conv_path (cygwin_conv_path_t, const void *, void *, size_t)
cygwin_conv_path_list	int	ssize_t cygwin_conv_path_list (cygwin_conv_path_t, const void *, void *, size_t)
cygwin_create_path	int	void *cygwin_create_path (cygwin_conv_path_t, const void *)
cygwin_detach_dll	unlisted	-
cygwin_dll_init	unlisted	-
cygwin_logon_user	unlisted	-
cygwin_posix_path_list_p	int	int cygwin_posix_path_list_p (const char *)
cygwin_set_impersonation_token	unlisted	-
cygwin_split_path	int	void cygwin_split_path (const char *, char *, char *)
cygwin_stackdump	unlisted	-
cygwin_umount	int	int cygwin_umount (const char *, unsigned int)
cygwin_winpid_to_pid	int	pid_t cygwin_winpid_to_pid (int)
daemon	int	int daemon (int, int)
dbm_clearerr	unlisted	-
dbm_close	unlisted	-
dbm_delete	unlisted	-
dbm_dirfno	unlisted	-
dbm_error	unlisted	-
dbm_fetch	unlisted	-
dbm_firstkey	unlisted	-
dbm_nextkey	unlisted	-
dbm_open	unlisted	-
dbm_store	unlisted	-
difftime	fp	double difftime (time_t, time_t)
dirfd	int	int dirfd (DIR *)
dirname	int	char *dirname (char *)
div	aggr	div_t div (int, int)
dladdr	int	int dladdr (const void *, Dl_info *)
dlclose	int	int dlclose (void *)
dlerror	int	char *dlerror (void)
dlfork	int	void dlfork (int)
dll_crt0__FP11per_process	unlisted	-
dll_dllcrt0	unlisted	-
dll_entry	unlisted	-
dlopen	int	void *dlopen (const char *, int)
dlsym	int	void *dlsym (void *, const char *)
dn_comp	unlisted	-
dn_expand	unlisted	-
dn_skipname	unlisted	-
drand48	fp	double drand48 (void)
drem	fp	double drem (double, double)
dremf	fp	float dremf (float, float)
dreml	fp	float dreml (long double, long double)
dup	int	int dup (int)
dup2	int	int dup2 (int, int)
dup3	int	int dup3 (int, int, int)
duplocale	int	locale_t duplocale (locale_t)
eaccess	int	int eaccess (const char *, int)
ecvt	unlisted	-
ecvtbuf	unlisted	-
ecvtf	unlisted	-
endgrent	int	void endgrent (void)
endhostent	int	void endhostent (void)
endmntent	int	int endmntent (FILE *)
endprotoent	int	void endprotoent (void)
endpwent	int	void endpwent (void)
endservent	int	void endservent (void)
endusershell	int	void endusershell (void)
endutent	int	void endutent (void)
endutxent	int	void endutxent (void)
envz_add	int	error_t envz_add (char **, size_t *, const char *, const char *)
envz_entry	int	char *envz_entry (const char *, size_t, const char *)
envz_get	int	char *envz_get (const char *, size_t, const char *)
envz_merge	int	error_t envz_merge (char **, size_t *, const char *, size_t, int)
envz_remove	int	void envz_remove (char **, size_t *, const char *)
envz_strip	int	void envz_strip (char **, size_t *)
erand48	fp	double erand48 (short unsigned int *)
erf	fp	double erf (double)
erfc	fp	double erfc (double)
erfcf	fp	float erfcf (float)
erfcl	fp	long double erfcl (long double)
erff	fp	float erff (float)
erfl	fp	long double erfl (long double)
euidaccess	int	int euidaccess (const char *, int)
execv	int	int execv (const char *, char *const *)
execve	int	int execve (const char *, char *const *, char *const *)
execvp	int	int execvp (const char *, char *const *)
execvpe	int	int execvpe (const char *, char *const *, char *const *)
exit	int	void exit (int)
exp	fp	double exp (double)
exp10	fp	double exp10 (double)
exp10f	fp	float exp10f (float)
exp10l	fp	float exp10l (float)
exp2	fp	double exp2 (double)
exp2f	fp	float exp2f (float)
exp2l	fp	long double exp2l (long double)
expf	fp	float expf (float)
expl	fp	long double expl (long double)
explicit_bzero	int	void explicit_bzero (void *, size_t)
expm1	fp	double expm1 (double)
expm1f	fp	float expm1f (float)
expm1l	fp	long double expm1l (long double)
fabs	fp	double fabs (double)
fabsf	fp	float fabsf (float)
fabsl	fp	long double fabsl (long double)
faccessat	int	int faccessat (int, const char *, int, int)
facl	unlisted	-
fallocate	int	int fallocate (int, int, off_t, off_t)
fchdir	int	int fchdir (int)
fchmod	int	int fchmod (int, mode_t)
fchmodat	int	int fchmodat (int, const char *, mode_t, int)
fchown	int	int fchown (int, uid_t, gid_t)
fchownat	int	int fchownat (int, const char *, uid_t, gid_t, int)
fclose	int	int fclose (FILE *)
fcloseall	int	int fcloseall (void)
fcvt	unlisted	-
fcvtbuf	unlisted	-
fcvtf	unlisted	-
fdatasync	int	int fdatasync (int)
fdclosedir	int	int fdclosedir (DIR *)
fdim	fp	double fdim (double, double)
fdimf	fp	float fdimf (float, float)
fdiml	fp	long double fdiml (long double, long double)
fdopen	int	FILE *fdopen (int, const char *)
fdopendir	int	DIR *fdopendir (int)
feclearexcept	int	int feclearexcept (int)
fedisableexcept	int	int fedisableexcept (int)
feenableexcept	int	int feenableexcept (int)
fegetenv	int	int fegetenv (fenv_t *)
fegetexcept	int	int fegetexcept (void)
fegetexceptflag	int	int fegetexceptflag (fexcept_t *, int)
fegetprec	int	int fegetprec (void)
fegetround	int	int fegetround (void)
feholdexcept	int	int feholdexcept (fenv_t *)
feof	int	int feof (FILE *)
feof_unlocked	int	int feof_unlocked (FILE *)
feraiseexcept	int	int feraiseexcept (int)
ferror	int	int ferror (FILE *)
ferror_unlocked	int	int ferror_unlocked (FILE *)
fesetenv	int	int fesetenv (const fenv_t *)
fesetexceptflag	int	int fesetexceptflag (const fexcept_t *, int)
fesetprec	int	int fesetprec (int)
fesetround	int	int fesetround (int)
fetestexcept	int	int fetestexcept (int)
feupdateenv	int	int feupdateenv (const fenv_t *)
fexecve	int	int fexecve (int, char *const *, char *const *)
fflush	int	int fflush (FILE *)
fflush_unlocked	int	int fflush_unlocked (FILE *)
ffs	int	int ffs (int)
ffsl	int	int ffsl (long int)
ffsll	int	int ffsll (long long int)
fgetc	int	int fgetc (FILE *)
fgetc_unlocked	int	int fgetc_unlocked (FILE *)
fgetpos	int	int fgetpos (FILE *, fpos_t *)
fgets	int	char *fgets (char *, int, FILE *)
fgets_unlocked	int	char *fgets_unlocked (char *, int, FILE *)
fgetwc	int	wint_t fgetwc (__FILE *)
fgetwc_unlocked	int	wint_t fgetwc_unlocked (__FILE *)
fgetws	int	wchar_t *fgetws (wchar_t *, int, __FILE *)
