# package	band	names-added	claimed-names-exercised
dleyna-core	moderate	7	4
dleyna-renderer	moderate	7	6
dleyna-server	moderate	12	6
dlm-lib	expensive	37	18
dmidecode	expensive	25	18
dnf-plugin-subscription-manager	unpinnable	1	11
dnsmasq	unpinnable	5	34
dnsmasq-utils	expensive	21	15
dnssec-trigger	expensive	48	22
dnssec-trigger-panel	expensive	32	18
docbook2X	moderate	11	16
dos2unix	unpinnable	3	24
dosfstools	unpinnable	2	26
dotconf	unpinnable	1	16
dotnet-apphost-pack-10.0	unpinnable	20	45
dotnet-apphost-pack-3.0	unpinnable	2	22
dotnet-apphost-pack-3.1	unpinnable	2	23
dotnet-apphost-pack-5.0	unpinnable	17	46
dotnet-apphost-pack-6.0	unpinnable	18	49
dotnet-apphost-pack-7.0	unpinnable	19	47
dotnet-apphost-pack-8.0	unpinnable	20	48
dotnet-apphost-pack-9.0	unpinnable	20	45
dotnet-host	unpinnable	3	21
dotnet-host-fxr-2.1	unpinnable	2	16
dotnet-hostfxr-10.0	unpinnable	3	22
dotnet-hostfxr-3.0	unpinnable	2	18
dotnet-hostfxr-3.1	unpinnable	2	19
dotnet-hostfxr-5.0	unpinnable	2	19
dotnet-hostfxr-6.0	unpinnable	2	20
dotnet-hostfxr-7.0	unpinnable	2	20
dotnet-hostfxr-8.0	unpinnable	3	21
dotnet-hostfxr-9.0	unpinnable	3	21
dotnet-runtime-10.0	unpinnable	20	45
dotnet-runtime-2.1	unpinnable	18	47
dotnet-runtime-3.0	unpinnable	18	48
dotnet-runtime-3.1	unpinnable	18	48
dotnet-runtime-5.0	unpinnable	18	46
dotnet-runtime-6.0	unpinnable	19	49
dotnet-runtime-7.0	unpinnable	20	48
dotnet-runtime-8.0	unpinnable	20	48
dotnet-runtime-9.0	unpinnable	20	45
dotnet-sdk-10.0	unpinnable	3	21
dotnet-sdk-2.1.5xx	unpinnable	2	16
dotnet-sdk-3.0	unpinnable	2	21
dotnet-sdk-3.1	unpinnable	2	23
dotnet-sdk-5.0	unpinnable	2	18
dotnet-sdk-6.0	unpinnable	2	20
dotnet-sdk-7.0	unpinnable	3	20
dotnet-sdk-8.0	unpinnable	3	20
dotnet-sdk-9.0	unpinnable	3	20
dotnet-sdk-aot-10.0	unpinnable	18	43
dotnet-sdk-aot-9.0	unpinnable	18	43
dovecot	unpinnable	21	31
dovecot-mysql	cheap	2	4
dovecot-pgsql	free	0	4
dovecot-pigeonhole	expensive	25	11
doxygen	unpinnable	3	34
doxygen-doxywizard	unpinnable	3	15
dpdk	unpinnable	15	39
dracut	unpinnable	1	24
dropwatch	moderate	14	12
drpm	expensive	22	18
dtc	unpinnable	3	22
dump	unpinnable	1	33
dvd+rw-tools	unpinnable	4	26
dwarves	expensive	33	23
dwz	unpinnable	1	21
dyninst	unpinnable	7	36
dyninst-testsuite	unpinnable	4	35
e2fsprogs	unpinnable	10	42
e2fsprogs-libs	unpinnable	4	29
eclipse-pde	unpinnable	1	17
eclipse-platform	unpinnable	1	23
eclipse-swt	cheap	3	8
ed	expensive	33	23
efibootmgr	unpinnable	6	24
efivar	moderate	15	17
efivar-libs	unpinnable	3	28
egl-utils	moderate	6	7
egl-wayland	expensive	32	12
elfutils	unpinnable	6	28
elfutils-debuginfod	unpinnable	6	19
elfutils-debuginfod-client	unpinnable	1	27
elfutils-libelf	unpinnable	2	13
elfutils-libs	unpinnable	5	25
elinks	unpinnable	7	35
emacs	unpinnable	8	40
emacs-common	project	74	29
emacs-lucid	unpinnable	8	40
emacs-nox	unpinnable	8	40
enca	unpinnable	3	26
enchant	moderate	13	19
enchant2	moderate	19	19
enscript	unpinnable	4	29
environment-modules	moderate	6	5
eog	unpinnable	7	12
esc	unpinnable	1	15
espeak-ng	unpinnable	2	33
eth-tools-basic	expensive	27	16
eth-tools-fastfabric	unpinnable	5	28
ethtool	expensive	35	28
evemu	expensive	25	15
evemu-libs	unpinnable	1	10
evince	unpinnable	5	8
evince-browser-plugin	unpinnable	1	5
evince-libs	unpinnable	4	22
evince-nautilus	cheap	1	3
evolution	unpinnable	7	25
evolution-bogofilter	cheap	1	2
evolution-data-server	unpinnable	7	34
evolution-data-server-tests	unpinnable	1	8
evolution-data-server-ui	cheap	1	3
evolution-ews	unpinnable	4	17
evolution-mapi	unpinnable	4	10
evolution-pst	cheap	3	7
evolution-spamassassin	cheap	1	2
execstack	expensive	30	20
exempi	unpinnable	1	26
exiv2	unpinnable	2	14
exiv2-libs	unpinnable	7	28
expat	unpinnable	2	22
expect	unpinnable	3	27
fabtests	unpinnable	6	25
fapolicyd	unpinnable	2	28
farstream02	expensive	21	11
fcoe-utils	unpinnable	3	28
fdo-admin-cli	unpinnable	8	18
fdo-client	unpinnable	7	20
fdo-init	unpinnable	7	18
fdo-manufacturing-server	unpinnable	8	20
fdo-owner-cli	unpinnable	7	18
fdo-owner-onboarding-server	unpinnable	8	20
fdo-rendezvous-server	unpinnable	8	20
fence-agents-kdump	expensive	26	15
fence-agents-kubevirt	cheap	4	13
fence-virt	project	56	18
fence-virtd	unpinnable	1	28
fence-virtd-cpg	unpinnable	1	18
fence-virtd-libvirt	unpinnable	1	16
fence-virtd-multicast	unpinnable	1	15
fence-virtd-serial	unpinnable	1	17
fence-virtd-tcp	unpinnable	1	15
fetchmail	unpinnable	4	31
fftw	expensive	21	15
fftw-libs-double	unpinnable	2	15
fftw-libs-long	unpinnable	2	15
fftw-libs-quad	unpinnable	2	15
fftw-libs-single	unpinnable	2	15
file	moderate	13	18
file-libs	unpinnable	2	29
file-roller	unpinnable	5	18
findutils	unpinnable	7	34
fio	unpinnable	10	37
fipscheck	moderate	10	16
fipscheck-lib	moderate	14	12
firefox	unpinnable	19	56
flac	unpinnable	3	27
flac-libs	unpinnable	3	21
flatpak	unpinnable	14	36
flatpak-builder	unpinnable	4	26
flatpak-libs	unpinnable	9	31
flatpak-session-helper	unpinnable	2	20
flatpak-spawn	moderate	14	7
flatpak-xdg-utils	cheap	3	4
flex	unpinnable	6	29
flite	unpinnable	3	26
fltk	unpinnable	2	31
fontconfig	unpinnable	5	29
fontforge	unpinnable	11	39
fonts-tweak-tool	free	0	1
foomatic	moderate	19	17
fprintd	unpinnable	4	4
fprintd-pam	unpinnable	3	8
freeglut	unpinnable	1	19
freeipmi	unpinnable	3	30
freeipmi-bmc-watchdog	unpinnable	1	22
freeipmi-ipmidetectd	unpinnable	1	23
freeipmi-ipmiseld	unpinnable	1	25
freeradius	unpinnable	11	37
freeradius-krb5	cheap	2	5
freeradius-ldap	moderate	9	6
freeradius-mysql	cheap	1	3
freeradius-perl	moderate	12	4
freeradius-postgresql	cheap	5	6
freeradius-rest	moderate	6	6
freeradius-sqlite	cheap	5	10
freeradius-unixODBC	free	0	3
freeradius-utils	unpinnable	3	27
freerdp	expensive	24	15
freerdp-libs	unpinnable	7	29
freetype	moderate	15	18
frei0r-plugins	unpinnable	1	11
frei0r-plugins-opencv	unpinnable	1	9
fribidi	moderate	7	10
frr	unpinnable	13	37
fstrm	unpinnable	2	16
fstrm-utils	expensive	25	24
ftp	project	77	32
fuse	unpinnable	4	23
fuse-libs	unpinnable	7	28
fuse-overlayfs	unpinnable	4	25
fuse-sshfs	project	64	27
fuse3	unpinnable	6	23
fuse3-libs	unpinnable	7	28
fwupd	unpinnable	14	18
fwupdate	unpinnable	5	11
fwupdate-libs	unpinnable	1	20
fxload	moderate	14	11
galera	unpinnable	7	33
gamin	unpinnable	5	26
gavl	unpinnable	1	20
gawk	unpinnable	6	34
gc	unpinnable	4	23
gcc	unpinnable	13	36
gcc-c++	unpinnable	11	35
gcc-gdb-plugin	unpinnable	1	14
gcc-gfortran	unpinnable	11	35
gcc-offload-nvptx	unpinnable	10	36
gcc-plugin-annobin	unpinnable	2	12
gcc-plugin-devel	expensive	40	23
gcc-toolset-10-annobin	unpinnable	2	12
gcc-toolset-10-binutils	unpinnable	8	47
gcc-toolset-10-dwz	unpinnable	1	20
gcc-toolset-10-dyninst	unpinnable	7	38
gcc-toolset-10-elfutils	unpinnable	6	28
gcc-toolset-10-elfutils-debuginfod-client	unpinnable	1	19
gcc-toolset-10-elfutils-libelf	unpinnable	2	13
gcc-toolset-10-elfutils-libs	unpinnable	5	25
gcc-toolset-10-gcc	unpinnable	12	37
gcc-toolset-10-gcc-c++	unpinnable	10	34
gcc-toolset-10-gcc-gdb-plugin	unpinnable	1	14
gcc-toolset-10-gcc-gfortran	unpinnable	10	34
gcc-toolset-10-gcc-plugin-devel	expensive	40	23
gcc-toolset-10-gdb	unpinnable	17	42
gcc-toolset-10-gdb-gdbserver	unpinnable	6	29
gcc-toolset-10-ltrace	unpinnable	4	28
gcc-toolset-10-make	unpinnable	3	35
gcc-toolset-10-strace	unpinnable	5	33
gcc-toolset-10-systemtap-client	unpinnable	4	33
gcc-toolset-10-systemtap-devel	unpinnable	4	33
gcc-toolset-10-systemtap-runtime	unpinnable	12	40
gcc-toolset-10-systemtap-server	unpinnable	5	29
gcc-toolset-10-valgrind	unpinnable	2	28
gcc-toolset-11-annobin-annocheck	expensive	38	23
gcc-toolset-11-annobin-plugin-gcc	unpinnable	2	12
gcc-toolset-11-binutils	unpinnable	8	46
gcc-toolset-11-dwz	unpinnable	1	21
gcc-toolset-11-dyninst	unpinnable	7	38
gcc-toolset-11-elfutils	unpinnable	6	27
gcc-toolset-11-elfutils-debuginfod-client	unpinnable	1	20
gcc-toolset-11-elfutils-libelf	unpinnable	2	13
gcc-toolset-11-elfutils-libs	unpinnable	5	25
gcc-toolset-11-gcc	unpinnable	12	37
gcc-toolset-11-gcc-c++	unpinnable	10	34
gcc-toolset-11-gcc-gdb-plugin	unpinnable	1	14
gcc-toolset-11-gcc-gfortran	unpinnable	10	34
gcc-toolset-11-gcc-plugin-devel	expensive	40	23
